"movie_title","director_name","title_year","imdb_score","rating_category","budget","gross","profit","roi","budget_category","is_profitable","duration","content_rating","primary_genre","language","country","num_voted_users","num_critic_for_reviews","num_user_for_reviews","movie_facebook_likes","budget_outlier","gross_outlier","profit_outlier","roi_outlier","imdb_score_outlier"
"Avatar ","James Cameron",2009,7.9,"Excellent",2.37e+08,760505847,523505847,2.20888543037975,"High",1,178,"PG-13","Action","English","USA",886204,723,3054,33000,TRUE,TRUE,TRUE,FALSE,FALSE
"Pirates of the Caribbean: At World's End ","Gore Verbinski",2007,7.1,"Good",3e+08,309404152,9404152,0.0313471733333333,"High",1,169,"PG-13","Action","English","USA",471220,302,1238,0,TRUE,TRUE,FALSE,FALSE,FALSE
"Spectre ","Sam Mendes",2015,6.8,"Good",2.45e+08,200074175,-44925825,-0.183370714285714,"High",0,148,"PG-13","Action","English","UK",275868,602,994,85000,TRUE,TRUE,FALSE,FALSE,FALSE
"The Dark Knight Rises ","Christopher Nolan",2012,8.5,"Excellent",2.5e+08,448130642,198130642,0.792522568,"High",1,164,"PG-13","Action","English","USA",1144337,813,2701,164000,TRUE,TRUE,TRUE,FALSE,FALSE
"John Carter ","Andrew Stanton",2012,6.6,"Good",263700000,73058679,-190641321,-0.722947747440273,"High",0,132,"PG-13","Action","English","USA",212204,462,738,24000,TRUE,FALSE,TRUE,FALSE,FALSE
"Spider-Man 3 ","Sam Raimi",2007,6.2,"Average",2.58e+08,336530303,78530303,0.304381019379845,"High",1,156,"PG-13","Action","English","USA",383056,392,1902,0,TRUE,TRUE,TRUE,FALSE,FALSE
"Tangled ","Nathan Greno",2010,7.8,"Excellent",2.6e+08,200807262,-59192738,-0.227664376923077,"High",0,100,"PG","Adventure","English","USA",294810,324,387,29000,TRUE,TRUE,FALSE,FALSE,FALSE
"Avengers: Age of Ultron ","Joss Whedon",2015,7.5,"Excellent",2.5e+08,458991599,208991599,0.835966396,"High",1,141,"PG-13","Action","English","USA",462669,635,1117,118000,TRUE,TRUE,TRUE,FALSE,FALSE
"Harry Potter and the Half-Blood Prince ","David Yates",2009,7.5,"Excellent",2.5e+08,301956980,51956980,0.20782792,"High",1,153,"PG","Adventure","English","UK",321795,375,973,10000,TRUE,TRUE,FALSE,FALSE,FALSE
"Batman v Superman: Dawn of Justice ","Zack Snyder",2016,6.9,"Good",2.5e+08,330249062,80249062,0.320996248,"High",1,183,"PG-13","Action","English","USA",371639,673,3018,197000,TRUE,TRUE,TRUE,FALSE,FALSE
